"Name","Time","Link","Rating"
"Jackson Cayward","24:33.2","https://www.tfrrs.org/athletes/7912116/Siena/Jackson_Cayward.html","938.9127252935408"
"Henry Didden","24:40.8","https://www.tfrrs.org/athletes/8267901/Bucknell/Henry_Didden.html","929.2997794207239"
"Tyler Greene","24:41.8","https://www.tfrrs.org/athletes/8238055/Siena/Tyler_Greene.html","928.0459176199911"
"Trent Dinant","24:57.8","https://www.tfrrs.org/athletes/8267902/Bucknell/Trent__Dinant.html","908.3244259527769"
"Bradford Duchesne","24:58.8","https://www.tfrrs.org/athletes/8909963/Fordham/Bradford_Duchesne.html","907.1127614095016"
"Aakash Arumugam","25:00.2","https://www.tfrrs.org/athletes/8909280/Seton_Hall/Aakash_Arumugam.html","905.4204999803878"
"David Carillo","25:12.9","https://www.tfrrs.org/athletes/8927969/Bucknell/David_Carillo.html","890.2832443911311"
"Ethan Pratt-Perez","25:14.0","https://www.tfrrs.org/athletes/8927973/Bucknell/Ethan_Pratt-Perez.html","888.9900398886837"
"Colin Brunelle","25:16.1","https://www.tfrrs.org/athletes/8582028/Siena/Colin_Brunelle.html","886.5290067827667"
"Logan Brunozzi","25:21.9","https://www.tfrrs.org/athletes/8606037/Seton_Hall/Logan_Brunozzi.html","879.7847130139794"
"Jayson Harmer","25:26.6","https://www.tfrrs.org/athletes/8267903/Bucknell/Jayson_Harmer.html","874.3758005542281"
"Grant Kern","25:26.9","https://www.tfrrs.org/athletes/8267905/Bucknell/Grant_Kern.html","874.032245677001"
"Santino D'Amelio","25:28.9","https://www.tfrrs.org/athletes/8921922/Rider/Santino_D'Amelio.html","871.747045672386"
"Cooper Hollinger","25:30.9","https://www.tfrrs.org/athletes/9195642/Bucknell/Cooper_Hollinger.html","869.4707961163789"
"Carter Paul","25:34.5","https://www.tfrrs.org/athletes/8617793/Bucknell/Carter_Paul.html","865.395953235327"
"Luke Tkaczyk","25:35.6","https://www.tfrrs.org/athletes/7912112/Siena/Luke_Tkaczyk.html","864.1565750151772"
"Evan Wattie","25:36.3","https://www.tfrrs.org/athletes/8902461/Siena/Evan_Wattie.html","863.3692655157927"
"Bryce Ryder","25:37.2","https://www.tfrrs.org/athletes/8248287/Marywood/Bryce_Ryder.html","862.3585904305976"
"STEPHEN BEAMAN","25:38.9","https://www.tfrrs.org/athletes/8606016/Seton_Hall/STEPHEN_BEAMAN.html","860.4543733090148"
"Isaac Gross","25:39.1","https://www.tfrrs.org/athletes/8901322/Marist/Isaac_Gross.html","860.2307625060846"
"Shaurya Srivastava","25:40.2","https://www.tfrrs.org/athletes/8259473/NYU/Shaurya_Srivastava.html","859.0024597728798"
"Jimmy Hernandez","25:43.3","https://www.tfrrs.org/athletes/9193072/Fordham/Jimmy__Hernandez.html","855.5549989330356"
"Matt McCarron","25:45.5","https://www.tfrrs.org/athletes/8589212/Rider/Matt_McCarron.html","853.1209887892896"
"Owen Stachilc","25:46.5","https://www.tfrrs.org/athletes/9203169/Albany/Owen_Stachilc.html","852.0180529139017"
"Nicolas Grabarz","25:47.4","https://www.tfrrs.org/athletes/8252072/Fordham/Nicolas_Grabarz.html","851.0272383223424"
"Ryan Pepperman","25:47.5","https://www.tfrrs.org/athletes/9195644/Bucknell/Ryan_Pepperman.html","850.9172545108424"
"Michael Mason","25:51.7","https://www.tfrrs.org/athletes/8615820/Sacred_Heart/Michael_Mason.html","846.3171181700118"
"James Jenkins","25:53.5","https://www.tfrrs.org/athletes/9178756/NYU/James_Jenkins.html","844.3570431553245"
"Justin Schwartz","25:55.1","https://www.tfrrs.org/athletes/8901320/Marist/Justin_Schwartz.html","842.6204650827992"
"Darren Croke","25:55.5","https://www.tfrrs.org/athletes/8252070/Fordham/Darren_Croke.html","842.1871576578959"
"Matthew Febles","25:55.9","https://www.tfrrs.org/athletes/8252071/Fordham/Matthew_Febles.html","841.7541843817605"
"Dan Wuenschel","25:55.9","https://www.tfrrs.org/athletes/8927974/Bucknell/Dan_Wuenschel.html","841.7541843817605"
"Collin Clinton","25:57.0","https://www.tfrrs.org/athletes/7912115/Siena/Collin_Clinton.html","840.5652280242998"
"Ryan Lindley","26:00.6","https://www.tfrrs.org/athletes/8245593/Fairfield/Ryan_Lindley.html","836.6916606980838"
"Jack Boerger","26:03.1","https://www.tfrrs.org/athletes/8616337/Fordham/Jack__Boerger_.html","834.017415402509"
"Chase Orciuch","26:06.2","https://www.tfrrs.org/athletes/8595360/Fairfield/Chase_Orciuch.html","830.7191198126477"
"James Stappenbeck","26:07.0","https://www.tfrrs.org/athletes/9193073/Fordham/James__Stappenbeck.html","829.8711228079949"
"Matthew Mastroly","26:07.8","https://www.tfrrs.org/athletes/8589211/Rider/Matthew_Mastroly.html","829.0244235922943"
"Connor Thomas","26:09.2","https://www.tfrrs.org/athletes/8582031/Siena/Connor_Thomas.html","827.5458148120276"
"Slater Von Stetten","26:10.0","https://www.tfrrs.org/athletes/8920159/Quinnipiac/Slater_Von_Stetten.html","826.7026708883449"
"George Hohenleitner","26:11.8","https://www.tfrrs.org/athletes/8907568/Fairfield/George_Hohenleitner.html","824.8103019435748"
"Michael Ryan","26:14.9","https://www.tfrrs.org/athletes/9165417/Siena/Michael_Ryan.html","821.5664192205878"
"Shepard Livingston","26:15.5","https://www.tfrrs.org/athletes/9177605/Quinnipiac/Shepard_Livingston.html","820.9407816604163"
"Jerry Lewis","26:16.6","https://www.tfrrs.org/athletes/8928542/Albany/Jerry_Lewis.html","819.7956340841816"
"Ethan Peffley","26:16.7","https://www.tfrrs.org/athletes/9173557/Rider/Ethan_Peffley.html","819.691648590824"
"Tyler Deme","26:17.0","https://www.tfrrs.org/athletes/9177607/Quinnipiac/Tyler_Deme.html","819.3798107918162"
"Nikolas Christian","26:17.1","https://www.tfrrs.org/athletes/8622860/Albany/Nikolas_Christian.html","819.2759044024472"
"Sanjith Nomula","26:17.5","https://www.tfrrs.org/athletes/8901317/Marist/Sanjith_Nomula.html","818.8604764294568"
"Peter Clifford","26:18.4","https://www.tfrrs.org/athletes/8267900/Bucknell/Peter_Clifford.html","817.9269179927666"
"Behn Thomas","26:18.9","https://www.tfrrs.org/athletes/9165416/Siena/Behn_Thomas.html","817.4089640951082"
"Davis Haines","26:22.1","https://www.tfrrs.org/athletes/8901323/Marist/Davis_Haines.html","814.1056793696275"
"Owen Little","26:25.3","https://www.tfrrs.org/athletes/9195643/Bucknell/Owen_Little.html","810.8223779387782"
"Earl Hart","26:25.7","https://www.tfrrs.org/athletes/9215762/St_Peters/Earl_Hart.html","810.4133623059942"
"Cole Knoedler","26:28.0","https://www.tfrrs.org/athletes/8601505/Rider/Cole_Knoedler.html","808.0675173501676"
"Kaleb Stoeckmann","26:28.1","https://www.tfrrs.org/athletes/9178026/Marist/Kaleb_Stoeckmann.html","807.9657552349331"
"Andrew Young","26:29.4","https://www.tfrrs.org/athletes/8927975/Bucknell/Andrew_Young.html","806.6445951379097"
"Anan Bauman","26:29.7","https://www.tfrrs.org/athletes/8909912/Fordham/Anan_Bauman.html","806.3401722346337"
"Cormac Leahy","26:31.1","https://www.tfrrs.org/athletes/8582030/Siena/Cormac_Leahy.html","804.9218080901048"
"MICHAEL KELTON","26:32.0","https://www.tfrrs.org/athletes/8591426/Seton_Hall/MICHAEL_KELTON.html","804.0119778669891"
"Marcus Homa","26:32.3","https://www.tfrrs.org/athletes/8582029/Siena/Marcus_Homa.html","803.7090439083473"
"Chase Kober","26:33.3","https://www.tfrrs.org/athletes/9178025/Marist/Chase_Kober.html","802.7004995931765"
"ANTHONY CARY","26:34.2","https://www.tfrrs.org/athletes/8265067/Seton_Hall/ANTHONY_CARY.html","801.7944319393691"
"Joseph Cardillo","26:34.6","https://www.tfrrs.org/athletes/8258292/Marywood/Joseph_Cardillo.html","801.3922275654911"
"Eric Schleif","26:36.5","https://www.tfrrs.org/athletes/9193074/Fordham/Eric__Schleif.html","799.4858834630447"
"Tadael Mihret","26:36.7","https://www.tfrrs.org/athletes/8616336/Fordham/Tadael__Mihret_.html","799.2856114489347"
"Preston Gumann","26:38.2","https://www.tfrrs.org/athletes/9177604/Quinnipiac/Preston_Gumann.html","797.785967115912"
"Kevin Cannon","26:38.2","https://www.tfrrs.org/athletes/8901318/Marist/Kevin_Cannon.html","797.785967115912"
"David Rodenhaver","26:38.3","https://www.tfrrs.org/athletes/8589214/Rider/David__Rodenhaver.html","797.6861409243602"
"Brandon Meiner","26:39.3","https://www.tfrrs.org/athletes/8259478/NYU/Brandon_Meiner.html","796.6889086916347"
"Pierce Francis","26:40.5","https://www.tfrrs.org/athletes/8601706/Marist/Pierce_Francis.html","795.4946965174136"
"Daniel DiTunno","26:40.9","https://www.tfrrs.org/athletes/9193071/Fordham/Daniel_DiTunno.html","795.0972224387917"
"Matthew Vene","26:42.3","https://www.tfrrs.org/athletes/8263753/Sacred_Heart/Matthew_Vene.html","793.7084065947938"
"Mason Barlow","26:43.5","https://www.tfrrs.org/athletes/8617790/Bucknell/Mason_Barlow.html","792.5208871701201"
"Adam Dicken","26:44.4","https://www.tfrrs.org/athletes/9195641/Bucknell/Adam_Dicken.html","791.6319956944789"
"Jared Voorhees","26:44.9","https://www.tfrrs.org/athletes/8921926/Rider/Jared_Voorhees.html","791.1388131405209"
"Bryce Robinson","26:46.5","https://www.tfrrs.org/athletes/8907571/Fairfield/Bryce_Robinson.html","789.5637222587629"
"Joshua Mingoia","26:46.6","https://www.tfrrs.org/athletes/8924240/Manhattan/Joshua__Mingoia.html","789.465435298754"
"Michael Goodson","26:48.6","https://www.tfrrs.org/athletes/9177608/Quinnipiac/Michael_Goodson.html","787.5035438221078"
"Micah Taffet","26:49.9","https://www.tfrrs.org/athletes/8902274/NYU/Micah_Taffet.html","786.2322334746101"
"James Modrovsky","26:50.6","https://www.tfrrs.org/athletes/8606345/Marywood/James__Modrovsky.html","785.5489564797414"
"Tyler Tkaczyk","26:52.2","https://www.tfrrs.org/athletes/8582032/Siena/Tyler_Tkaczyk.html","783.9905212399576"
"JACK SMITH","26:52.7","https://www.tfrrs.org/athletes/8909283/Seton_Hall/JACK_SMITH.html","783.50446122421"
"Brody Santagata","26:55.6","https://www.tfrrs.org/athletes/8238052/Siena/Brody_Santagata.html","780.6942066157426"
"Aidan Cichocki","26:55.7","https://www.tfrrs.org/athletes/9197270/Sacred_Heart/Aidan_Cichocki.html","780.5975710959074"
"Kyle Haskell","26:57.4","https://www.tfrrs.org/athletes/9191887/Fairfield/Kyle_Haskell.html","778.9575086774197"
"ETHAN CONRAD","26:57.7","https://www.tfrrs.org/athletes/8591425/Seton_Hall/ETHAN_CONRAD.html","778.6686225005875"
"Ryan Kittredge","26:58.0","https://www.directathletics.com/athletes/track/8528778.html","778.3798969995618"
"Samir Hussain","27:00.5","https://www.tfrrs.org/athletes/9196213/NYU/Samir_Hussain.html","775.980083730383"
"Demetri Franzese","27:00.8","https://www.tfrrs.org/athletes/8918864/Sacred_Heart/Demetri_Franzese.html","775.6928521401113"
"ZACHARY DONETH","27:01.9","https://www.tfrrs.org/athletes/8591429/Seton_Hall/ZACHARY_DONETH.html","774.6410329293698"
"Noah Johnson","27:02.9","https://www.tfrrs.org/athletes/9165414/Siena/Noah_Johnson.html","773.6866890099408"
"Matthew McCabe","27:03.1","https://www.tfrrs.org/athletes/8616339/Fordham/Matthew__McCabe_.html","773.4960318669953"
"Colin Shand","27:03.2","https://www.tfrrs.org/athletes/8595357/Fairfield/Colin_Shand.html","773.4007297223925"
"Trey Davidson","27:04.6","https://www.tfrrs.org/athletes/8921962/NYU/Trey_Davidson.html","772.0683469984733"
"Nico Hidalgo","27:05.1","https://www.tfrrs.org/athletes/8921925/Rider/Nico_Hidalgo.html","771.5933303382296"
"Shane Lafountain","27:05.9","https://www.tfrrs.org/athletes/9203165/Albany/Shane_Lafountain.html","770.8342150127542"
"Gabriel Spanbauer","27:06.4","https://www.tfrrs.org/athletes/9203167/Albany/Gabriel_Spanbauer.html","770.3603366758042"
"Gabriel Montoya","27:07.8","https://www.tfrrs.org/athletes/8907569/Fairfield/Gabriel_Montoya.html","769.0357996516664"
"Alex Saldana","27:07.9","https://www.tfrrs.org/athletes/8920156/Quinnipiac/Alex_Saldana.html","768.9413206076015"
"Jake Harold","27:09.5","https://www.tfrrs.org/athletes/9197274/Sacred_Heart/Jake_Harold.html","767.4320207039871"
"Colston Wisotzki","27:11.5","https://www.tfrrs.org/athletes/9191888/Fairfield/Colston_Wisotzki.html","765.5516366736286"
"Michael Lilly","27:12.0","https://www.tfrrs.org/athletes/8892457/Delhi/Michael_Lilly.html","765.0826205188062"
"Max Decker","27:12.5","https://www.tfrrs.org/athletes/9165412/Siena/Max_Decker.html","764.6140352469787"
"Jack Dovaras","27:12.9","https://www.tfrrs.org/athletes/8258154/Marist/Jack_Dovaras.html","764.2394769106727"
"LIAM GRIFFITHS","27:18.1","https://www.tfrrs.org/athletes/8909282/Seton_Hall/LIAM_GRIFFITHS.html","759.3951601331435"
"Brody Cox","27:18.4","https://www.tfrrs.org/athletes/9192581/Manhattan/Brody_Cox.html","759.1170867803249"
"Nevan Kelley","27:18.8","https://www.tfrrs.org/athletes/8907567/Fairfield/Nevan_Kelley.html","758.7465598368353"
"Matthew McDevitt","27:21.4","https://www.tfrrs.org/athletes/8909964/Fordham/Matthew__McDevitt.html","756.3447337966271"
"JEFFREY GRYNAVISKI","27:22.7","https://www.tfrrs.org/athletes/8591424/Seton_Hall/JEFFREY_GRYNAVISKI.html","755.1480952229965"
"Liam Cowdrey","27:22.8","https://www.tfrrs.org/athletes/8892454/Delhi/Liam_Cowdrey.html","755.056163750918"
"Michael Strain","27:25.3","https://www.tfrrs.org/athletes/8591637/Quinnipiac/Michael_Strain.html","752.7633219667965"
"Liam Keish","27:26.0","https://www.tfrrs.org/athletes/9197275/Sacred_Heart/Liam_Keish.html","752.1231976900002"
"Ben Bailor","27:28.2","https://www.tfrrs.org/athletes/8920153/Quinnipiac/Ben_Bailor.html","750.1166854752406"
"Jordan Levy","27:28.9","https://www.tfrrs.org/athletes/9178758/NYU/Jordan_Levy.html","749.4799334289471"
"Joseph Vogel","27:29.1","https://www.tfrrs.org/athletes/9214449/Fairfield/Joseph_Vogel.html","749.2981531886676"
"Jake Gogarty","27:30.7","https://www.tfrrs.org/athletes/8902460/Siena/Jake_Gogarty.html","747.8462891093321"
"Michael Devine","27:31.2","https://www.tfrrs.org/athletes/9195640/Bucknell/Michael_Devine.html","747.3934468967517"
"Kyle McCarron","27:33.0","https://www.tfrrs.org/athletes/9177606/Quinnipiac/Kyle_McCarron.html","745.7666160053933"
"Alex Searle","27:33.3","https://www.tfrrs.org/athletes/8617794/Bucknell/Alex_Searle.html","745.4959939932853"
"Jackson Sennhenn","27:35.1","https://www.tfrrs.org/athletes/8920157/Quinnipiac/Jackson_Sennhenn.html","743.8753510072906"
"AIDAN GRIFFIN","27:35.7","https://www.tfrrs.org/athletes/8909281/Seton_Hall/AIDAN_GRIFFIN.html","743.336310915562"
"Christopher Gray","27:37.3","https://www.tfrrs.org/athletes/9173554/Rider/Christopher_Gray.html","741.9017317944775"
"Jack Flanagan","27:37.5","https://www.tfrrs.org/athletes/8267402/Manhattan/Jack_Flanagan.html","741.7227014544451"
"Caden Lazzor","27:42.2","https://www.tfrrs.org/athletes/9168370/Seton_Hall/Caden_Lazzor.html","737.5340742232671"
"Michael Maresca","27:44.8","https://www.tfrrs.org/athletes/9197276/Sacred_Heart/Michael_Maresca.html","735.2321866730578"
"Alessandro Tullo Alvarez","27:48.7","https://www.tfrrs.org/athletes/8920158/Quinnipiac/Alessandro_Tullo_Alvarez.html","731.7995088382107"
"Raidan Francis","27:49.9","https://www.tfrrs.org/athletes/8606344/Marywood/Raidan_Francis.html","730.7481358394241"
"Owen Fletcher","27:50.0","https://www.tfrrs.org/athletes/9191886/Fairfield/Owen_Fletcher.html","730.660623712819"
"Jakob Seamans","27:56.7","https://www.tfrrs.org/athletes/8912906/Marywood/Jakob_Seamans.html","724.832932112142"
"Steve Hines","27:59.5","https://www.tfrrs.org/athletes/8928539/Albany/Steve_Hines.html","722.4181176678832"
"Ben Jones","28:00.5","https://www.tfrrs.org/athletes/9203164/Albany/Ben_Jones.html","721.5586077883872"
"Harjaap Singh","28:02.3","https://www.tfrrs.org/athletes/8918877/Sacred_Heart/Harjaap_Singh.html","720.0153507514412"
"AIDAN SMITH","28:02.9","https://www.tfrrs.org/athletes/8591428/Seton_Hall/AIDAN_SMITH.html","719.5020318389859"
"Spencer Moreau","28:08.5","https://www.tfrrs.org/athletes/9195973/Delhi/Spencer_Moreau.html","714.737412553885"
"Patrick Curreri","28:12.7","https://www.tfrrs.org/athletes/8263745/Sacred_Heart/Patrick_Curreri.html","711.1949385010394"
"Rowan O'Brien","28:15.4","https://www.tfrrs.org/athletes/8918867/Sacred_Heart/Rowan_O'Brien.html","708.931523010915"
"Jack Putnam","28:19.5","https://www.tfrrs.org/athletes/8296512/Fairfield/Jack_Putnam.html","705.5150909164241"
"Colby Micheels","28:21.8","https://www.tfrrs.org/athletes/8621770/Manhattan/Colby__Micheels.html","703.6093579611207"
"Frankie DiSilvestro","28:24.9","https://www.tfrrs.org/athletes/9173553/Rider/Frankie_DiSilvestro.html","701.0529546597261"
"Charlie Tessier","28:25.9","https://www.tfrrs.org/athletes/8907570/Fairfield/Charlie_Tessier.html","700.2312799123821"
"Daniel Norton","28:29.1","https://www.tfrrs.org/athletes/9214448/Fairfield/Daniel_Norton.html","697.611605940414"
"Declan Toland","28:34.9","https://www.tfrrs.org/athletes/8615825/Sacred_Heart/Declan_Toland.html","692.9007714500864"
"PJ Dauer","28:37.2","https://www.tfrrs.org/athletes/8238054/Siena/PJ_Dauer.html","691.0458861710835"
"Nicholaus Micheal","28:38.3","https://www.tfrrs.org/athletes/8948102/St_Peters/Nicholaus_Micheal.html","690.1613989884811"
"Joey Demilio","28:39.4","https://www.tfrrs.org/athletes/8594275/Manhattanville/Joey__Demilio.html","689.2786088362018"
"Vincent Costello","28:40.0","https://www.tfrrs.org/athletes/9203168/Albany/Vincent_Costello.html","688.7978006600463"
"Owen Trombley","28:42.2","https://www.tfrrs.org/athletes/9197280/Sacred_Heart/Owen_Trombley.html","687.0391346782126"
"Nate Sletten","28:42.3","https://www.tfrrs.org/athletes/7912113/Siena/Nate_Sletten.html","686.9593554075536"
"Jacob Walsh","28:50.8","https://www.tfrrs.org/athletes/9198430/Marywood/Jacob_Walsh.html","680.2285761060278"
"Devin Finn","28:55.5","https://www.tfrrs.org/athletes/8928536/Albany/Devin_Finn.html","676.549238481046"
"Will Spierdowis","28:58.9","https://www.tfrrs.org/athletes/8909915/Fordham/Will_Spierdowis_.html","673.9061668823636"
"Jesse Croteau","29:05.5","https://www.tfrrs.org/athletes/9197271/Sacred_Heart/Jesse_Croteau.html","668.819519119527"
"Jack Cabrera","29:07.3","https://www.tfrrs.org/athletes/9215727/St_Peters/Jack_Cabrera.html","667.4422455638496"
"Ethan Williams","29:11.8","https://www.tfrrs.org/athletes/9198429/Marywood/Ethan_Williams.html","664.0176166760957"
"Latham Gielskie","29:17.4","https://www.tfrrs.org/athletes/9195977/Delhi/Latham_Gielskie.html","659.7925408733139"
"MICHAEL POLAK","29:20.3","https://www.tfrrs.org/athletes/8591427/Seton_Hall/MICHAEL_POLAK.html","657.6203858340024"
"Zach Garrant","29:33.2","https://www.tfrrs.org/athletes/8940334/Manhattanville/Zach_Garrant_.html","648.0868362801544"
"Lukas Paunovic","29:37.9","https://www.tfrrs.org/athletes/9192583/Manhattan/Lukas_Paunovic.html","644.6648418312899"
"Connor Hashim","29:46.7","https://www.tfrrs.org/athletes/8928538/Albany/Connor_Hashim.html","638.3301690566383"
"Tyler DeCiantis","29:48.0","https://www.tfrrs.org/athletes/9197272/Sacred_Heart/Tyler_DeCiantis.html","637.4022858932408"
"Patrick (Gavin) Devine","29:57.3","https://www.tfrrs.org/athletes/8918862/Sacred_Heart/Patrick_(Gavin)_Devine.html","630.8229672886714"
"Johan Aparicio","30:00.6","https://www.tfrrs.org/athletes/9215743/St_Peters/Johan_Aparicio.html","628.5128393441589"
"John Hernandez","30:12.4","https://www.tfrrs.org/athletes/8634548/John_Jay/John_Hernandez.html","620.355359379604"
"Wylie Wakefield","30:29.0","https://www.tfrrs.org/athletes/8892456/Delhi/Wylie_Wakefield.html","609.1457725983511"
"Vincent Pitre","30:58.0","https://www.tfrrs.org/athletes/9203166/Albany/Vincent_Pitre.html","590.2788550812421"
"Christopher Hernandez","30:59.1","https://www.tfrrs.org/athletes/9215725/St_Peters/Christopher_Hernandez.html","589.5805444488537"
"Anthony Ventura","31:14.3","https://www.tfrrs.org/athletes/9192580/Manhattan/Anthony_Ventura.html","580.0566835311431"
"Brody Graff","31:38.0","https://www.tfrrs.org/athletes/8993861/Marywood/Brody_Graff.html","565.6609901256718"
"Daniel Baldessarre","31:53.2","https://www.tfrrs.org/athletes/8265369/Manhattanville/Daniel__Baldessarre.html","556.7085626236911"
"Anson Ng","32:08.8","https://www.tfrrs.org/athletes/9195974/Delhi/Anson_Ng.html","547.7397393756193"
"Austin Price","32:25.3","https://www.tfrrs.org/athletes/9198431/Marywood/Austin_Price.html","538.4873085215611"
"Jake Cook","32:25.7","https://www.tfrrs.org/athletes/9195976/Delhi/Jake_Cook.html","538.2659251810678"
"Danny Noia","32:49.9","https://www.tfrrs.org/athletes/9185690/Manhattanville/Danny__Noia_.html","525.1220867127792"
"Kenneth Montes","33:22.8","https://www.tfrrs.org/athletes/8948103/St_Peters/Kenneth_Montes.html","508.0114256738891"
"Courtney Brown","33:29.2","https://www.tfrrs.org/athletes/8674086/Manhattanville/Courtney__Brown.html","504.7801944304955"
"Tony Echeverria","34:45.4","https://www.tfrrs.org/athletes/8931417/John_Jay/Tony__Echeverria.html","468.56506667381115"
"Darlig Delgado","36:09.4","https://www.tfrrs.org/athletes/8265370/Manhattanville/Darlig__Delgado.html","432.98153316309237"
"Aka Udeagha","41:34.3","https://www.tfrrs.org/athletes/8984445/Manhattanville/Aka__Udeagha_.html","327.5301409657479"
"Robinson Correra","50:26.3","https://www.tfrrs.org/athletes/9217570/John_Jay/Robinson_Correra.html","222.49727165201818"
"Emmanuel Leblond","23:35.0","https://www.tfrrs.org/athletes/8261701/Johns_Hopkins/Emmanuel_Leblond.html","1045.08805000672"
"Mohammed Bati","23:39.6","https://www.tfrrs.org/athletes/8238957/Augsburg/Mohammed_Bati.html","1038.3261224298783"
"Isaac vanWestrienen","23:39.8","https://www.tfrrs.org/athletes/8610918/Cornell_College/Isaac_vanWestrienen.html","1038.0336156005862"
"Ryan Hagan","23:52.7","https://www.tfrrs.org/athletes/8685713/Geneseo_St/Ryan_Hagan.html","1019.4249059579117"
"Grant Matthai","23:53.7","https://www.tfrrs.org/athletes/8280388/Wis_La_Crosse/Grant_Matthai.html","1018.0033123420001"
"Nathan Tassey","23:54.3","https://www.tfrrs.org/athletes/8264910/Roger_Williams/Nathan_Tassey.html","1017.1517830506526"
"Aidan Matthai","23:55.2","https://www.tfrrs.org/athletes/8280387/Wis_La_Crosse/Aidan_Matthai.html","1015.8764910021052"
"Jacob Curulewski","23:56.0","https://www.tfrrs.org/athletes/8266439/Carthage/Jacob_Curulewski.html","1014.7449104817164"
"Jayden Zywicki","24:02.7","https://www.tfrrs.org/athletes/8280390/Wis_La_Crosse/Jayden_Zywicki.html","1005.341702788776"
"Isaiah Hammerand","24:09.9","https://www.tfrrs.org/athletes/8585435/Wartburg/Isaiah_Hammerand.html","995.3817225543061"
"Jack Stein","24:10.2","https://www.tfrrs.org/athletes/8262564/Pomona_Pitzer/Jack__Stein.html","994.9699398624434"
