timestamp,meet_name,meet_url,meet_date,status,rows_touched,athletes_extracted,athletes_saved,athletes_already_in_db,skipped_no_time,skipped_no_link,discrepancy,is_balanced,errors_and_anomalies
"2026-09-15T23:57:30.224522400Z","Purchase College XC Invitational","https://tfrrs.org/results/xc/27375/Purchase_College_XC_Invitational","09/12/26","SUCCESS",110,109,109,0,0,1,0,true,""
"2026-09-17T21:12:25.583298Z","Mustang Derby","https://tfrrs.org/results/xc/28031/Mustang_Derby","09/17/26","SUCCESS",32,32,32,0,0,0,0,true,""
"2026-09-17T21:12:27.718269400Z","Wilmington Beach Blast 2026","https://tfrrs.org/results/xc/28621/Wilmington_Beach_Blast_2026","09/15/26","SUCCESS",285,18,18,0,0,267,0,true,""
"2026-09-17T21:12:29.780674700Z","CMCC Mustang Classic","https://tfrrs.org/results/xc/28301/CMCC_Mustang_Classic","09/13/26","SUCCESS",16,11,0,11,3,2,0,true,""
"2026-09-17T21:12:31.864691400Z","Embry-Riddle Arizona Invitational","https://tfrrs.org/results/xc/28274/Embry-Riddle_Arizona_Invitational","09/12/26","SUCCESS",63,57,0,57,6,0,0,true,""
"2026-09-17T21:12:41.382988Z","Ray Helsing Bulldog Invitational","https://tfrrs.org/results/xc/28524/Ray_Helsing_Bulldog_Invitational","09/12/26","ERROR",0,0,0,0,0,0,0,false,"Error fetching meet page: https://tfrrs.org/results/xc/28524/Ray_Helsing_Bulldog_Invitational - Read timed out"
"2026-09-17T21:12:43.534230200Z","Purchase College XC Invitational","https://tfrrs.org/results/xc/27375/Purchase_College_XC_Invitational","09/12/26","SUCCESS",110,109,0,109,0,1,0,true,""
"2026-09-17T21:12:45.649198500Z","Blazer Classic","https://tfrrs.org/results/xc/28490/Blazer_Classic","09/12/26","SUCCESS",45,40,40,0,0,5,0,true,""
"2026-09-17T21:12:47.870118600Z","2026 Bethany Invitational","https://tfrrs.org/results/xc/28585/2026_Bethany_Invitational","09/12/26","SUCCESS",69,65,65,0,3,1,0,true,""
"2026-09-17T21:12:49.958209800Z","Seawolf Throwdown","https://tfrrs.org/results/xc/28532/Seawolf_Throwdown","09/12/26","SUCCESS",17,16,16,0,0,1,0,true,""
"2026-09-17T21:12:52.274395300Z","2nd Annual Stevens 'Back to the Bowl' Invitational","https://tfrrs.org/results/xc/27488/2nd_Annual_Stevens_Back_to_the_Bowl_Invitational","09/12/26","SUCCESS",144,138,138,0,3,3,0,true,""
"2026-09-17T21:12:54.541720Z","All-American Invitational","https://tfrrs.org/results/xc/28176/All-American_Invitational","09/12/26","SUCCESS",73,53,53,0,0,20,0,true,""
"2026-09-17T21:12:56.770647400Z","Dickinson Long-Short Invitational","https://tfrrs.org/results/xc/27850/Dickinson_Long-Short_Invitational_","09/12/26","SUCCESS",192,172,172,0,17,3,0,true,""
"2026-09-17T21:12:58.857109700Z","Hanover XC Invitational 2026","https://tfrrs.org/results/xc/27780/Hanover_XC_Invitational_2026","09/12/26","SUCCESS",58,58,58,0,0,0,0,true,""
"2026-09-17T21:13:00.995344600Z","7th Annual Northwood Invite","https://tfrrs.org/results/xc/27721/7th_Annual_Northwood_Invite","09/12/26","SUCCESS",110,97,97,0,0,13,0,true,""
"2026-09-17T21:13:03.087719200Z","Coach Bob Gravett Invitational","https://tfrrs.org/results/xc/27514/Coach_Bob_Gravett_Invitational","09/12/26","SUCCESS",74,54,54,0,20,0,0,true,""
"2026-09-17T21:13:12.594277700Z","Spartan Classic","https://tfrrs.org/results/xc/28040/Spartan_Classic","09/12/26","ERROR",0,0,0,0,0,0,0,false,"Error fetching meet page: https://tfrrs.org/results/xc/28040/Spartan_Classic - Read timed out"
"2026-09-17T21:13:14.779195100Z","Hamilton College Short Course","https://tfrrs.org/results/xc/28104/Hamilton_College_Short_Course","09/12/26","SUCCESS",141,141,141,0,0,0,0,true,""
"2026-09-17T21:13:16.890723700Z","Tommy v W XC Classic","https://tfrrs.org/results/xc/28592/Tommy_v_W_XC_Classic","09/12/26","SUCCESS",84,66,66,0,12,6,0,true,""
"2026-09-17T21:13:19.024084100Z","University of Hartford XC Invitational","https://tfrrs.org/results/xc/27424/University_of_Hartford_XC_Invitational","09/12/26","SUCCESS",121,117,117,0,2,2,0,true,""
"2026-09-17T21:13:21.160067500Z","UIW Invitational","https://tfrrs.org/results/xc/28589/UIW_Invitational","09/12/26","SUCCESS",132,100,100,0,27,5,0,true,""
